regime,anchor,l1_to_sigma,pi_cluster-0,pi_cluster-1,pi_cluster-2,pi_cluster-3,pi_cluster-4
free,-,0.7332569507428834,0.02219937576423461,0.3418290005972468,0.4247994747741948,0.0967319039988775,0.11444024486544609
anchored,entry,0.6455081594113458,0.0267956648179031,0.30369165381529,0.41906242589038273,0.10179986335580135,0.1486503921206225
anchored,argmax,0.5827398167036177,0.06334336500268425,0.3300630372145995,0.36130687113720933,0.09297076248853764,0.15231596415696916
anchored,phrase,0.7859176996731286,0.03460114958624576,0.35663973961914763,0.4363191102174171,0.07554482060569939,0.09689517997149096
