,cluster-0,cluster-1,cluster-2,cluster-3,cluster-4
cluster-0,1.0,-0.10527765681941419,-0.47804339051084765,0.4912112086712106,0.3950793057698264
cluster-1,-0.10527765681941419,1.0,0.43919382479845614,0.2666653073663258,0.5645109616277404
cluster-2,-0.47804339051084765,0.43919382479845614,1.0,-0.21310337793567202,0.275598551899638
cluster-3,0.49121120867121054,0.2666653073663258,-0.21310337793567202,1.0,0.5519740939075041
cluster-4,0.3950793057698264,0.5645109616277404,0.275598551899638,0.5519740939075041,1.0
