,cluster-0,cluster-1,cluster-2,cluster-3,cluster-4
cluster-0,1.0,-0.0888636875754996,-0.4875784056376302,0.5248339405435247,0.37560546986659477
cluster-1,-0.08886368757549959,1.0,0.45851272945198207,0.282295128475891,0.5142124356926195
cluster-2,-0.4875784056376303,0.458512729451982,0.9999999999999998,-0.2314004358425242,0.27073623469008157
cluster-3,0.5248339405435247,0.28229512847589106,-0.23140043584252423,1.0,0.5112405477349052
cluster-4,0.37560546986659477,0.5142124356926195,0.2707362346900815,0.5112405477349052,1.0
