,cluster-0,cluster-1,cluster-2,cluster-3,cluster-4
cluster-0,1.0,-0.6330875930445887,-0.7173112836652205,0.29831792115597744,-0.13095545701488384
cluster-1,-0.6330875930445886,0.9999999999999999,0.3541095617608761,-0.3422643507896105,-0.2195146149853733
cluster-2,-0.7173112836652205,0.35410956176087616,1.0,-0.6391885262981997,-0.15280081775439017
cluster-3,0.29831792115597744,-0.3422643507896105,-0.6391885262981997,1.0,-0.20613095444464644
cluster-4,-0.13095545701488387,-0.21951461498537334,-0.15280081775439017,-0.20613095444464644,1.0
