estimator,cluster-0,cluster-1,cluster-2,cluster-3,cluster-4,L1_to_sigma,L1_to_pi_free
sigma (uniform),0.2,0.2,0.2,0.2,0.2,0.0,0.7332569507428836
generative EM pi_free,0.0221993757642346,0.3418290005972468,0.4247994747741948,0.0967319039988775,0.114440244865446,0.7332569507428836,0.0
generative hard-assign,0.027,0.34,0.413,0.101,0.119,0.706,0.02725695074288347
probe single | final  | soft,0.1023773656507784,0.32641155127712684,0.21902384372491632,0.19632475406806593,0.15586248424443563,0.29087079103876323,0.4423861597041203
probe single | final  | hard,0.104,0.32,0.223,0.216,0.137,0.318,0.44725695074288346
probe single | meanpos| soft,0.10060418036190094,0.3024264162858017,0.25177762314514257,0.16321505076548784,0.18197673056554048,0.30840807773801504,0.42484887300486845
probe single | meanpos| hard,0.088,0.344,0.261,0.152,0.155,0.41000000000000003,0.3275989495483898
probe runmean| final  | soft,0.15559217677349887,0.2823526556023428,0.2729082566964137,0.11594434745461336,0.1732025629153609,0.31052182515528337,0.42273512558760007
probe runmean| final  | hard,0.157,0.28,0.272,0.117,0.174,0.30400000000000005,0.4292569507428834
