regime,anchor,l1_to_sigma,pi_absurdist,pi_epistolary,pi_scientific_explainer,pi_fairy_tale,pi_noir_detective
free,-,0.28,0.1880188122980941,0.2350000288549424,0.12705730017956007,0.14492388752234583,0.3049999711450576
anchored,entry,0.08172580963891757,0.2360000010944134,0.19800001731093392,0.16113707786960732,0.2008629037250454,0.20400000000000001
anchored,argmax,0.4910757311729921,0.4375378655864959,0.19800002815613332,0.09996562391301451,0.056496482344356,0.20800000000000005
anchored,phrase,0.5061206203533104,0.0850032110956038,0.28400006244793635,0.06193647872774102,0.23906024772871876,0.3300000000000001
