arm,n,frac_interior_H_r,frac_interior_absolute_0.5nat,frac_offsimplex_L_mix,median_H_r,mean_H_r,median_H_r_norm,median_H_tok,median_L_best,median_L_mix,median_spread,median_segments,mean_switch_rate,median_length
free,1000,0.998,0.065,0.962,1.3337172357287803e-05,0.07389889946328787,1.5830834015029427,1.296104770405389,-2.0493339478500245,-2.059857351249673,0.6592052790123647,29.0,0.7682576613334426,127.0
null,1000,0.05,0.0,0.049,7.311464576759585e-48,6.114237268831467e-26,1.431913584244965,1.2452910225821339,-1.328040175550566,-1.3373537875134838,1.6485030407042014,9.0,0.6812762090427709,127.0
data,1000,0.327,0.0,0.377,6.1099222111782436e-40,0.0004700100005313875,1.4799844390553847,1.260468221178911,-1.5167005043330155,-1.5327582198634224,1.3850271270031067,14.0,0.6793293298584843,127.0
