,absurdist,epistolary,scientific_explainer,fairy_tale,noir_detective,base
absurdist,0.9552083333333333,0.0,0.020833333333333332,0.0,0.0,0.023958333333333335
epistolary,0.0,1.0,0.0,0.0,0.0,0.0
scientific_explainer,0.03854166666666667,0.0,0.853125,0.014583333333333334,0.0,0.09375
fairy_tale,0.0,0.0,0.004166666666666667,0.99375,0.0,0.0020833333333333333
noir_detective,0.0,0.0,0.0,0.0,0.9979166666666667,0.0020833333333333333
base,0.009375,0.0,0.12083333333333333,0.005208333333333333,0.025,0.8395833333333333
