t,n_prefixes,cluster-0,cluster-1,cluster-2,cluster-3,cluster-4
0,0,,,,,
1,200,0.2643012931341213,0.06327282650535929,0.3117237565759166,0.24003535045717614,0.12066677332757861
2,200,0.139767132867973,0.26534438351870077,0.20050582927776073,0.13030462040510032,0.26407803393045803
3,200,0.09585655992502744,0.14537013534839777,0.3482280717322202,0.11734759659515961,0.29319763639919527
4,200,0.07853781860918689,0.17462557033128392,0.3985357432685075,0.08551229434915342,0.26278857344186635
5,200,0.06250444674813044,0.22839462556086332,0.4043919902442223,0.11394013699861617,0.19076880044818775
6,200,0.10103373228658365,0.2631666202161968,0.36077495432426276,0.09769561908879285,0.17732907408416596
7,200,0.07372584764781248,0.19778913057709815,0.4450192198035548,0.10274487648778108,0.18072092548374097
8,200,0.11960979261274114,0.2697389022611227,0.3226785886197406,0.07582341394588471,0.21214930256049275
9,200,0.13373373289776144,0.22217998680245382,0.2948810906837645,0.13565033847495456,0.21355485114106065
10,200,0.09639319839989928,0.23975477385049979,0.36401879965259026,0.13932286582362216,0.16051036227339235
11,200,0.10824806263836326,0.25056979911640526,0.3374900868596364,0.13458653983878704,0.16910551154681092
12,200,0.11415527607608124,0.24241550342026236,0.33254441393697165,0.13126757921982724,0.17961722734686217
13,200,0.11548758676644579,0.22446896055756263,0.3715957076294869,0.13879581083812037,0.14965193420838452
14,200,0.080686522914821,0.2792964565724194,0.3756726506955441,0.09345105099735093,0.17089331881988154
15,200,0.08834417520721424,0.28404606140511474,0.35360082935745274,0.11638558506746703,0.15762334896274485
16,200,0.07293384491397405,0.24781887814577439,0.3567588765742171,0.12473012556103587,0.19775827480500555
17,200,0.08505403685866299,0.29215651816926286,0.32457212000472,0.12858470525263954,0.1696326197147273
18,200,0.10024547897796027,0.28011194175941534,0.3317680240687693,0.12451667911513578,0.1633578760787281
19,200,0.10463762960266047,0.2767970579709024,0.3182053890589068,0.14367328094802778,0.1566866424194995
20,200,0.07891507683796047,0.2855705562777649,0.34147254836753355,0.12049832378705835,0.17354349472967567
21,200,0.06844064399082779,0.2743603739025728,0.3584656328852777,0.13655083948461855,0.1621825097366898
22,200,0.07872497339831856,0.2977823445752659,0.354268957384456,0.14285064332274397,0.12637308131922198
23,200,0.07832676977555504,0.23184624357592531,0.41439157429471707,0.11707484541678566,0.15836056693702366
24,200,0.07920823412399895,0.2626034463891864,0.3788760004774677,0.11147574790328943,0.1678365711060501
25,200,0.06828780236342605,0.3223070173113011,0.3185594970496102,0.1365205279781729,0.15432515529748214
26,200,0.13342432762795092,0.25325241436138085,0.36980252727185625,0.10120675379073696,0.14231397694808087
27,200,0.11600662519367369,0.2813835828320042,0.3141074848455049,0.103914378445058,0.1845879286837712
28,200,0.14244284496986157,0.2487054474762782,0.3778534000723601,0.12880857567460027,0.10218973180689996
29,200,0.0960313627092465,0.24684205348940888,0.39136911994597967,0.1362216745434253,0.1295357893119302
30,200,0.10154110499376702,0.29980122405975157,0.32841147770921464,0.11755420128745203,0.15269199194981065
31,200,0.13277959784500287,0.2875793819917423,0.3590515573858697,0.10947334475994014,0.11111611801745884
